R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating
11,Real Salt Lake,14,8.9,23,6.73,11,Real Salt Lake,10.4,6.73,11,Real Salt Lake,11.5,11.2,6.73,11,Real Salt Lake,1.9,0.1,6.73,11,Real Salt Lake,2.6,6.73,11,Real Salt Lake,19.4,6.73,11,Real Salt Lake,3.4,1.8,5.9,6.73,11,Real Salt Lake,2.6,0.1,1.6,0.9,6.73,11,Real Salt Lake,12.6,5.9,0.5,6.2,6.73,11,Real Salt Lake,1.4,0.2,0.8,0.3,6.73,11,Real Salt Lake,6.6,9.5,16.1,6.73,11,Real Salt Lake,15.4,8.3,6.73,11,Real Salt Lake,29.1,15.1,14,6.73,11,Real Salt Lake,440.2,33.7,32.3,323,51.1,6.73,11,Real Salt Lake,9.5,2,7.5,6.73,11,Real Salt Lake,0.1,0,0.1,0,0,0.7,0.9,6.73,11,Real Salt Lake,12.6,9.4,0.4,2.6,0.2,6.73,11,Real Salt Lake,1.6,0.7,0.2,0.3,0,7.3,6.73
12,Chicago Fire,16.5,9.4,25.9,6.73,12,Chicago Fire,10.5,6.73,12,Chicago Fire,10.1,12,6.73,12,Chicago Fire,1.8,0.1,6.73,12,Chicago Fire,1.8,6.73,12,Chicago Fire,15.8,6.73,12,Chicago Fire,2.6,0.9,6.2,6.73,12,Chicago Fire,2.7,0.3,1.1,1.3,6.73,12,Chicago Fire,14.1,5.3,1.4,7.4,6.73,12,Chicago Fire,1.6,0.4,1,0.1,6.73,12,Chicago Fire,6.4,9,15.4,6.73,12,Chicago Fire,15.3,8,6.73,12,Chicago Fire,27.6,13.8,13.8,6.73,12,Chicago Fire,440.8,30.5,32.8,324.5,52.9,6.73,12,Chicago Fire,10.9,2.2,8.6,6.73,12,Chicago Fire,0.4,0.1,0,0.1,0,0.7,1.1,6.73,12,Chicago Fire,14.1,9.9,0.5,3.6,0.1,6.73,12,Chicago Fire,2.4,0.9,0.2,0.4,0,8.1,6.73
13,New York Red Bulls,19.9,10.9,30.8,6.72,13,New York Red Bulls,12,6.72,13,New York Red Bulls,12.7,11.9,6.72,13,New York Red Bulls,1.5,0.1,6.72,13,New York Red Bulls,2,6.72,13,New York Red Bulls,19.6,6.72,13,New York Red Bulls,2.8,0.9,9.1,6.72,13,New York Red Bulls,2.7,0.1,1.6,0.9,6.72,13,New York Red Bulls,13.1,4.5,1,7.7,6.72,13,New York Red Bulls,1.6,0.3,1.1,0.1,6.72,13,New York Red Bulls,7.4,7.5,14.9,6.72,13,New York Red Bulls,16.9,10,6.72,13,New York Red Bulls,44.6,21.7,22.9,6.72,13,New York Red Bulls,383,17.6,41,245,79.4,6.72,13,New York Red Bulls,9.8,1.5,8.3,6.72,13,New York Red Bulls,0.3,0,0.1,0,0,0.7,1,6.72,13,New York Red Bulls,13.1,8.7,0.4,3.9,0.1,6.72,13,New York Red Bulls,2.3,1,0.4,0.4,0.1,6.8,6.72
14,Seattle Sounders FC,15.8,8.6,24.4,6.71,14,Seattle Sounders FC,10.4,6.71,14,Seattle Sounders FC,12.1,10.2,6.71,14,Seattle Sounders FC,1.5,0.1,6.71,14,Seattle Sounders FC,1.6,6.71,14,Seattle Sounders FC,17.2,6.71,14,Seattle Sounders FC,3.1,1.4,7.5,6.71,14,Seattle Sounders FC,3.4,0.1,1.6,1.6,6.71,14,Seattle Sounders FC,12.5,4.2,1.2,7.1,6.71,14,Seattle Sounders FC,1.5,0.3,1.1,0.1,6.71,14,Seattle Sounders FC,6.2,8.3,14.5,6.71,14,Seattle Sounders FC,14.5,10.9,6.71,14,Seattle Sounders FC,27.3,13.9,13.4,6.71,14,Seattle Sounders FC,471.8,32.2,26.1,354.1,59.4,6.71,14,Seattle Sounders FC,9.8,1.2,8.6,6.71,14,Seattle Sounders FC,0.2,0,0.1,0,0,0.7,1,6.71,14,Seattle Sounders FC,12.5,8.5,0.4,3.6,0.1,6.71,14,Seattle Sounders FC,2.6,1,0.3,0.4,0.1,6.6,6.71
15,Colorado Rapids,15,10.2,25.2,6.7,15,Colorado Rapids,10.3,6.7,15,Colorado Rapids,10.3,12,6.7,15,Colorado Rapids,2,0.2,6.7,15,Colorado Rapids,1.5,6.7,15,Colorado Rapids,20.3,6.7,15,Colorado Rapids,4.2,1.5,6.3,6.7,15,Colorado Rapids,3.4,0.2,2.2,1,6.7,15,Colorado Rapids,14.2,5.5,1,7.7,6.7,15,Colorado Rapids,1.7,0.4,1.1,0.2,6.7,15,Colorado Rapids,7,9.4,16.4,6.7,15,Colorado Rapids,14,9.3,6.7,15,Colorado Rapids,31.6,16.3,15.3,6.7,15,Colorado Rapids,350.5,27.9,33.2,243,46.4,6.7,15,Colorado Rapids,10.3,3,7.3,6.7,15,Colorado Rapids,0.4,0.3,0,0,0,0.6,1.1,6.7,15,Colorado Rapids,14.2,9,0.5,4.5,0.2,6.7,15,Colorado Rapids,3.3,1.5,0.2,0.6,0.2,6.3,6.7
16,New England Revolution,15.7,10,25.7,6.69,16,New England Revolution,10.6,6.69,16,New England Revolution,12.1,12.8,6.69,16,New England Revolution,1.9,0.2,6.69,16,New England Revolution,1.6,6.69,16,New England Revolution,19,6.69,16,New England Revolution,3.7,0.9,7.1,6.69,16,New England Revolution,3.9,0.3,2.4,1.2,6.69,16,New England Revolution,13.4,4.7,0.9,7.8,6.69,16,New England Revolution,1.5,0.4,0.9,0.2,6.69,16,New England Revolution,8.6,9.8,18.4,6.69,16,New England Revolution,17,10.2,6.69,16,New England Revolution,31.7,15.9,15.8,6.69,16,New England Revolution,389.1,27.8,31.9,269.9,59.5,6.69,16,New England Revolution,9.9,1.6,8.3,6.69,16,New England Revolution,0.3,0.1,0.1,0,0,0.7,1.1,6.69,16,New England Revolution,13.4,9.8,0.5,2.9,0.2,6.69,16,New England Revolution,2,0.8,0.5,0.4,0.1,7.1,6.69
17,Toronto FC,15.2,8,23.2,6.68,17,Toronto FC,8.5,6.68,17,Toronto FC,10.6,9.7,6.68,17,Toronto FC,1.4,0.1,6.68,17,Toronto FC,1.8,6.68,17,Toronto FC,14.6,6.68,17,Toronto FC,2.4,1.4,6.8,6.68,17,Toronto FC,2.7,0.2,1.3,1.2,6.68,17,Toronto FC,12.9,4.1,0.9,7.9,6.68,17,Toronto FC,1.7,0.4,1,0.3,6.68,17,Toronto FC,7.1,9.3,16.4,6.68,17,Toronto FC,15.9,9.2,6.68,17,Toronto FC,24.1,12.1,12,6.68,17,Toronto FC,529.8,32.9,25.8,418.8,52.2,6.68,17,Toronto FC,10,1.8,8.2,6.68,17,Toronto FC,0.2,0,0.1,0,0,0.9,1.1,6.68,17,Toronto FC,12.9,9.5,0.4,2.9,0.2,6.68,17,Toronto FC,2.1,1,0.3,0.3,0,7.4,6.68
18,Orlando City,15.9,10.1,26.1,6.65,18,Orlando City,10.3,6.65,18,Orlando City,9.6,11.1,6.65,18,Orlando City,1.8,0.1,6.65,18,Orlando City,1.6,6.65,18,Orlando City,21,6.65,18,Orlando City,2.5,1.2,6.1,6.65,18,Orlando City,3.4,0.1,1.9,1.3,6.65,18,Orlando City,11.4,4.6,1,5.8,6.65,18,Orlando City,1.3,0.2,0.9,0.1,6.65,18,Orlando City,6.9,9.1,16,6.65,18,Orlando City,15,9.3,6.65,18,Orlando City,28.5,14.2,14.3,6.65,18,Orlando City,431.5,27.2,31.1,318.5,54.7,6.65,18,Orlando City,8.4,1.2,7.2,6.65,18,Orlando City,0.2,0.1,0.1,0.1,0,0.6,0.9,6.65,18,Orlando City,11.4,7.9,0.4,3,0.1,6.65,18,Orlando City,1.7,0.9,0.3,0.2,0,6.1,6.65
19,Montreal Impact,16.2,9.1,25.3,6.63,19,Montreal Impact,10.5,6.63,19,Montreal Impact,11.3,11.2,6.63,19,Montreal Impact,1.6,0.1,6.63,19,Montreal Impact,1.4,6.63,19,Montreal Impact,17,6.63,19,Montreal Impact,2.1,1.1,6.8,6.63,19,Montreal Impact,2.6,0.1,1.5,1,6.63,19,Montreal Impact,11.5,4.5,1,6.1,6.63,19,Montreal Impact,1.4,0.3,0.9,0.1,6.63,19,Montreal Impact,6.5,10.2,16.7,6.63,19,Montreal Impact,15.3,10.7,6.63,19,Montreal Impact,28.5,14.6,13.9,6.63,19,Montreal Impact,456.3,32.7,31.2,338.7,53.6,6.63,19,Montreal Impact,8.6,1.5,7.1,6.63,19,Montreal Impact,0.3,0.1,0.1,0,0,0.5,0.9,6.63,19,Montreal Impact,11.5,7.6,0.5,3.2,0.2,6.63,19,Montreal Impact,2.1,0.9,0.2,0.4,0.1,6,6.63
20,Vancouver Whitecaps,14.2,8.4,22.6,6.61,20,Vancouver Whitecaps,11.8,6.61,20,Vancouver Whitecaps,10.9,10.5,6.61,20,Vancouver Whitecaps,1.9,0,6.61,20,Vancouver Whitecaps,1.1,6.61,20,Vancouver Whitecaps,23.8,6.61,20,Vancouver Whitecaps,5.2,1.3,5.2,6.61,20,Vancouver Whitecaps,4.4,0.1,2.5,1.9,6.61,20,Vancouver Whitecaps,10.6,4.3,0.6,5.7,6.61,20,Vancouver Whitecaps,1.1,0.1,0.8,0.1,6.61,20,Vancouver Whitecaps,6.1,8.4,14.6,6.61,20,Vancouver Whitecaps,13.5,8.8,6.61,20,Vancouver Whitecaps,27.6,13.3,14.3,6.61,20,Vancouver Whitecaps,426.9,29.5,32.8,315.6,49,6.61,20,Vancouver Whitecaps,7.5,1.5,6,6.61,20,Vancouver Whitecaps,0.1,0.1,0,0,0,0.5,0.6,6.61,20,Vancouver Whitecaps,10.6,7.5,0.4,2.4,0.2,6.61,20,Vancouver Whitecaps,1.7,0.6,0,0.3,0,5.7,6.61
21,Columbus Crew,16.9,9.9,26.8,6.61,21,Columbus Crew,10.1,6.61,21,Columbus Crew,10.3,11.7,6.61,21,Columbus Crew,1.7,0,6.61,21,Columbus Crew,1.6,6.61,21,Columbus Crew,16.4,6.61,21,Columbus Crew,2.8,1.4,7.7,6.61,21,Columbus Crew,2.6,0.1,1.5,1,6.61,21,Columbus Crew,11.6,4.8,0.9,5.9,6.61,21,Columbus Crew,1.1,0.1,0.9,0.1,6.61,21,Columbus Crew,7.4,9.3,16.8,6.61,21,Columbus Crew,14.8,9.3,6.61,21,Columbus Crew,29.5,13.9,15.6,6.61,21,Columbus Crew,447.7,30.6,31.9,329.2,56,6.61,21,Columbus Crew,8.5,1.5,7,6.61,21,Columbus Crew,0.2,0.1,0,0.1,0,0.5,0.8,6.61,21,Columbus Crew,11.6,8.3,0.4,2.8,0.1,6.61,21,Columbus Crew,2.1,0.9,0.1,0.3,0,6,6.61
22,Houston Dynamo,17.3,10.8,28.1,6.59,22,Houston Dynamo,8.4,6.59,22,Houston Dynamo,11.7,12.2,6.59,22,Houston Dynamo,1.9,0.1,6.59,22,Houston Dynamo,2,6.59,22,Houston Dynamo,14.7,6.59,22,Houston Dynamo,3.3,1.3,6.6,6.59,22,Houston Dynamo,3.1,0.1,1.6,1.4,6.59,22,Houston Dynamo,13.4,5.8,1,6.5,6.59,22,Houston Dynamo,1.4,0.2,1,0.1,6.59,22,Houston Dynamo,6.7,8.6,15.3,6.59,22,Houston Dynamo,13.5,8.4,6.59,22,Houston Dynamo,26.1,11.3,14.8,6.59,22,Houston Dynamo,412.4,28.2,29.7,307,47.5,6.59,22,Houston Dynamo,9.8,1.6,8.2,6.59,22,Houston Dynamo,0.1,0,0.1,0,0,0.8,1.1,6.59,22,Houston Dynamo,13.4,10,0.4,2.8,0.1,6.59,22,Houston Dynamo,1.6,0.5,0.4,0.3,0.1,7.6,6.59
23,Sporting Kansas City,14.1,10.9,25.1,6.58,23,Sporting Kansas City,9.1,6.58,23,Sporting Kansas City,11.6,12.3,6.58,23,Sporting Kansas City,2.1,0.2,6.58,23,Sporting Kansas City,1.4,6.58,23,Sporting Kansas City,16.2,6.58,23,Sporting Kansas City,3,0.9,6.9,6.58,23,Sporting Kansas City,3.4,0.1,2.1,1.3,6.58,23,Sporting Kansas City,14.7,6.3,0.6,7.7,6.58,23,Sporting Kansas City,1.4,0.3,0.8,0.3,6.58,23,Sporting Kansas City,6.6,8,14.6,6.58,23,Sporting Kansas City,15.3,8,6.58,23,Sporting Kansas City,28.2,13.3,14.9,6.58,23,Sporting Kansas City,467.9,30.1,27.7,357.7,52.4,6.58,23,Sporting Kansas City,10.1,1.9,8.2,6.58,23,Sporting Kansas City,0.1,0,0.1,0,0,0.6,0.9,6.58,23,Sporting Kansas City,14.7,10.1,0.4,3.8,0.3,6.58,23,Sporting Kansas City,1.8,0.9,0.5,0.3,0,7.4,6.58
24,FC Cincinnati,15.2,8.2,23.4,6.48,24,FC Cincinnati,10.7,6.48,24,FC Cincinnati,11.3,10.9,6.48,24,FC Cincinnati,1.6,0.1,6.48,24,FC Cincinnati,1.9,6.48,24,FC Cincinnati,19.6,6.48,24,FC Cincinnati,3.8,1.1,6.3,6.48,24,FC Cincinnati,2.7,0.3,1.5,0.9,6.48,24,FC Cincinnati,10.6,4.4,0.6,5.6,6.48,24,FC Cincinnati,0.9,0.1,0.7,0.1,6.48,24,FC Cincinnati,6.4,8.4,14.8,6.48,24,FC Cincinnati,15.6,7.8,6.48,24,FC Cincinnati,32.4,16.3,16.1,6.48,24,FC Cincinnati,409.3,30.3,34.1,289.3,55.6,6.48,24,FC Cincinnati,8,1.8,6.2,6.48,24,FC Cincinnati,0.1,0,0.1,0,0,0.3,0.6,6.48,24,FC Cincinnati,10.6,7.4,0.2,2.8,0.1,6.48,24,FC Cincinnati,1.7,0.8,0.3,0.6,0,5.5,6.48
