R,Team,TotalTackles,DribbledPast,TotalAttemptedTackles,Rating,R,Team,Total,Rating,R,Team,Fouled,Fouls,Rating,R,Team,Yellow,Red,Rating,R,Team,CaughtOffside,Rating,R,Team,Total,Rating,R,Team,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,R,Team,Total,SixYardBox,PenaltyArea,OutOfBox,Rating,R,Team,Unsuccessful,Successful,Total Dribbles,Rating,R,Team,UnsuccessfulTouches,Dispossessed,Rating,R,Team,Total,Won,Lost,Rating,R,Team,Total,AccLB,InAccLB,AccSP,InAccSP,Rating,R,Team,Total,Long,Short,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Total,Rating,R,Team,Total,OpenPlay,Counter,SetPiece,PenaltyTaken,Rating,R,Team,Cross,Corner,Throughball,Freekick,Throwin,Other,Rating,League,R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating,R,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,R,Team,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Rating
3,Juventus,14.3,9.1,23.5,6.92,3,Juventus,9.9,6.92,3,Juventus,12.8,13.5,6.92,3,Juventus,2.2,0.1,6.92,3,Juventus,1.9,6.92,3,Juventus,15.7,6.92,3,Juventus,2.8,1.9,6.7,6.92,3,Juventus,3.2,0.1,1.6,1.5,6.92,3,Juventus,17.5,6.9,1,9.5,6.92,3,Juventus,1.9,0.3,1.4,0.2,6.92,3,Juventus,6.7,11.2,18,6.92,3,Juventus,14.4,7.3,6.92,3,Juventus,22,12.5,9.5,6.92,3,Juventus,577.8,29.8,18.5,477.2,52.3,6.92,3,Juventus,12.9,2.1,10.8,6.92,3,Juventus,0.2,0.1,0.1,0,0,0.9,1.2,6.92,3,Juventus,17.5,12.6,0.7,3.9,0.3,6.92,3,Juventus,2.6,0.9,0.3,0.3,0,9.8,6.92,Serie A,3,Juventus,12,14.3,9.9,13.5,1.9,6.92,3,Juventus,50,17.5,562,57.1,87.8,12.5,6.92,3,Juventus,4.3,14.3,2.9,3.3,10.8,1.2,6.92
4,Inter,14.2,11.2,25.3,6.86,4,Inter,9.8,6.86,4,Inter,11.1,15,6.86,4,Inter,2.6,0.2,6.86,4,Inter,2.6,6.86,4,Inter,17.5,6.86,4,Inter,3.3,2,6.7,6.86,4,Inter,2.5,0.1,1.3,1.2,6.86,4,Inter,16.2,6.2,1.1,8.9,6.86,4,Inter,2,0.3,1.4,0.3,6.86,4,Inter,5.2,8.5,13.6,6.86,4,Inter,12.6,7.7,6.86,4,Inter,27.8,14.8,13,6.86,4,Inter,500.2,32.5,20.1,392.4,55.2,6.86,4,Inter,11.6,1.7,9.9,6.86,4,Inter,0.4,0,0,0,0,0.9,1.3,6.86,4,Inter,16.2,11.7,0.6,3.7,0.3,6.86,4,Inter,3,1,0.2,0.3,0,8.2,6.86,Serie A,4,Inter,12.8,14.2,9.8,15,2.6,6.86,4,Inter,49,16.2,654,51.6,85,14.8,6.86,4,Inter,4.5,15.7,3.5,2.6,9.9,0.8,6.86
5,Roma,12.8,7.8,20.7,6.82,5,Roma,10.8,6.82,5,Roma,11.7,14.2,6.82,5,Roma,2.8,0.2,6.82,5,Roma,1.3,6.82,5,Roma,15.8,6.82,5,Roma,2.6,1.5,5.8,6.82,5,Roma,2.9,0,1.6,1.3,6.82,5,Roma,17.3,7.1,1.4,8.8,6.82,5,Roma,2,0.5,1,0.3,6.82,5,Roma,6.7,12.4,19,6.82,5,Roma,14,8.2,6.82,5,Roma,28.2,15.6,12.5,6.82,5,Roma,466.2,34.9,24.5,357.3,49.6,6.82,5,Roma,12.6,2.5,10.1,6.82,5,Roma,0.3,0.1,0.2,0,0,0.7,1.2,6.82,5,Roma,17.3,11,0.6,5.3,0.3,6.82,5,Roma,3.4,1.7,0.5,0.4,0,8.4,6.82,Serie A,5,Roma,11.2,12.8,10.8,14.2,1.3,6.82,5,Roma,51,17.3,736,52.9,84.1,15.6,6.82,5,Roma,5.9,15.5,3.3,3.8,11.2,2.3,6.82
6,Sassuolo,15,8.2,23.2,6.79,6,Sassuolo,9.4,6.79,6,Sassuolo,15,13.4,6.79,6,Sassuolo,2.7,0.1,6.79,6,Sassuolo,1.8,6.79,6,Sassuolo,17.3,6.79,6,Sassuolo,3.6,2.1,6.8,6.79,6,Sassuolo,3.9,0.2,2.4,1.2,6.79,6,Sassuolo,14.5,7.1,0.6,6.8,6.79,6,Sassuolo,1.6,0.2,1.3,0.2,6.79,6,Sassuolo,8,13.3,21.3,6.79,6,Sassuolo,13.9,9.5,6.79,6,Sassuolo,20.4,9.3,11.1,6.79,6,Sassuolo,530,18.6,21.1,438.8,51.6,6.79,6,Sassuolo,11.1,1.2,9.9,6.79,6,Sassuolo,0.2,0,0.1,0,0,1,1.3,6.79,6,Sassuolo,14.5,10.2,0.7,3.5,0.1,6.79,6,Sassuolo,1.5,0.7,0.5,0.2,0.1,8.9,6.79,Serie A,6,Sassuolo,14.1,15,9.4,13.4,1.8,6.79,6,Sassuolo,41,14.5,682,55.7,86.3,9.3,6.79,6,Sassuolo,2.6,13,1.8,3.7,13.6,2,6.79
7,Napoli,13.6,9.4,23,6.75,7,Napoli,8.8,6.75,7,Napoli,13.8,11.7,6.75,7,Napoli,2.2,0.1,6.75,7,Napoli,1.6,6.75,7,Napoli,11.7,6.75,7,Napoli,2.6,1,5.6,6.75,7,Napoli,2.6,0.2,1.3,1.2,6.75,7,Napoli,18.5,8,1.3,9.3,6.75,7,Napoli,1.6,0.4,0.9,0.2,6.75,7,Napoli,6.7,9.9,16.5,6.75,7,Napoli,11.7,8.1,6.75,7,Napoli,22.5,11.6,10.9,6.75,7,Napoli,591,24.9,17.5,492.6,56.1,6.75,7,Napoli,14.2,2,12.2,6.75,7,Napoli,0.3,0,0,0.2,0,0.7,1.1,6.75,7,Napoli,18.5,13.8,0.2,4.3,0.1,6.75,7,Napoli,3.6,1.1,0.5,0.5,0,9.8,6.75,Serie A,7,Napoli,11.9,13.6,8.8,11.7,1.6,6.75,7,Napoli,41,18.5,582,57.2,87.6,11.6,6.75,7,Napoli,5.5,18.5,2.7,3.4,13.1,1.1,6.75
8,AC Milan,16.1,9.9,26,6.73,8,AC Milan,11.1,6.73,8,AC Milan,12.9,14.5,6.73,8,AC Milan,2.8,0.2,6.73,8,AC Milan,1.5,6.73,8,AC Milan,16.7,6.73,8,AC Milan,2.7,1.7,5.9,6.73,8,AC Milan,3.2,0.2,1.9,1.2,6.73,8,AC Milan,15.9,7,0.8,8.2,6.73,8,AC Milan,1.1,0.2,0.7,0.2,6.73,8,AC Milan,7,11.5,18.5,6.73,8,AC Milan,17.1,10.1,6.73,8,AC Milan,31.3,15.8,15.6,6.73,8,AC Milan,484.5,29.4,24.2,376.1,54.9,6.73,8,AC Milan,12.3,1.4,10.8,6.73,8,AC Milan,0.1,0,0.1,0.1,0,0.3,0.5,6.73,8,AC Milan,15.9,12.2,0.5,3.1,0.2,6.73,8,AC Milan,2.5,0.8,0.3,0.3,0,9.4,6.73,Serie A,8,AC Milan,12.1,16.1,11.1,14.5,1.5,6.73,8,AC Milan,28,15.9,735,53.4,83.7,15.8,6.73,8,AC Milan,4.3,15.6,2.3,3.3,12.2,2.2,6.73
9,Parma Calcio 1913,17.2,11.8,29,6.72,9,Parma Calcio 1913,10.3,6.72,9,Parma Calcio 1913,11.7,14.2,6.72,9,Parma Calcio 1913,2.2,0,6.72,9,Parma Calcio 1913,1.6,6.72,9,Parma Calcio 1913,22.1,6.72,9,Parma Calcio 1913,4.8,2.2,6.2,6.72,9,Parma Calcio 1913,4.3,0.2,2.3,1.8,6.72,9,Parma Calcio 1913,12,5.4,0.6,6,6.72,9,Parma Calcio 1913,1.3,0.3,0.8,0.2,6.72,9,Parma Calcio 1913,6.6,7.9,14.5,6.72,9,Parma Calcio 1913,15.9,9.4,6.72,9,Parma Calcio 1913,29.6,16.8,12.8,6.72,9,Parma Calcio 1913,356.1,34.2,29,242,50.8,6.72,9,Parma Calcio 1913,8.6,1.4,7.2,6.72,9,Parma Calcio 1913,0.4,0.1,0.1,0,0,0.4,1,6.72,9,Parma Calcio 1913,12,7.6,1,3.4,0.1,6.72,9,Parma Calcio 1913,2,0.9,0.2,0.4,0,6.1,6.72,Serie A,9,Parma Calcio 1913,18,17.2,10.3,14.2,1.6,6.72,9,Parma Calcio 1913,32,12,560,44.2,77.6,16.8,6.72,9,Parma Calcio 1913,3.9,12.1,2.3,2.7,9.9,2,6.72
10,Verona,13.8,7,20.8,6.71,10,Verona,10,6.71,10,Verona,13.4,15.3,6.71,10,Verona,2.4,0.2,6.71,10,Verona,2.6,6.71,10,Verona,22,6.71,10,Verona,5.2,1.7,4.6,6.71,10,Verona,3.2,0.2,1.8,1.3,6.71,10,Verona,11.6,3.7,1.1,6.7,6.71,10,Verona,1.2,0.3,0.7,0.1,6.71,10,Verona,6,8.4,14.4,6.71,10,Verona,14.8,8.1,6.71,10,Verona,42.4,20.6,21.9,6.71,10,Verona,408.9,24.3,34.7,289.1,60.8,6.71,10,Verona,8.6,1.7,7,6.71,10,Verona,0.3,0.1,0,0,0,0.2,0.6,6.71,10,Verona,11.6,7.5,0.6,3.2,0.2,6.71,10,Verona,2.8,1.1,0,0.2,0,5.7,6.71,Serie A,10,Verona,16.2,13.8,10,15.3,2.6,6.71,10,Verona,29,11.6,615,49.2,76.6,20.6,6.71,10,Verona,4.5,14.1,2.1,3.2,11.4,2.8,6.71
11,Torino,15.3,9.2,24.5,6.69,11,Torino,13.1,6.69,11,Torino,14.4,16.4,6.69,11,Torino,2.4,0.3,6.69,11,Torino,2,6.69,11,Torino,22.7,6.69,11,Torino,4.7,2,7,6.69,11,Torino,4,0.2,2.2,1.5,6.69,11,Torino,10.9,4.2,0.5,6.2,6.69,11,Torino,1.1,0.1,0.8,0.2,6.69,11,Torino,7.4,12.7,20.1,6.69,11,Torino,16.1,10.8,6.69,11,Torino,38.7,19.4,19.3,6.69,11,Torino,376.2,30,29,265.2,52,6.69,11,Torino,8.4,1.2,7.2,6.69,11,Torino,0.3,0,0,0,0,0.4,0.8,6.69,11,Torino,10.9,6.8,0.4,3.6,0.2,6.69,11,Torino,2.2,0.5,0.2,0.4,0.1,5.5,6.69,Serie A,11,Torino,17.1,15.3,13.1,16.4,2,6.69,11,Torino,28,10.9,617,48.5,78.5,19.4,6.69,11,Torino,5.4,14.1,3.8,1,11.5,3.3,6.69
12,Fiorentina,15.7,11.2,26.9,6.66,12,Fiorentina,9.3,6.66,12,Fiorentina,13.3,14.6,6.66,12,Fiorentina,2.5,0.2,6.66,12,Fiorentina,1.4,6.66,12,Fiorentina,17.1,6.66,12,Fiorentina,2.6,1.9,6.3,6.66,12,Fiorentina,3.1,0.1,1.7,1.3,6.66,12,Fiorentina,14.5,5.7,0.9,7.8,6.66,12,Fiorentina,1.2,0.1,0.9,0.2,6.66,12,Fiorentina,5.7,11,16.7,6.66,12,Fiorentina,15.5,10.2,6.66,12,Fiorentina,28.3,13.7,14.5,6.66,12,Fiorentina,400.1,24.9,26.9,297,51.2,6.66,12,Fiorentina,10.8,2.2,8.7,6.66,12,Fiorentina,0.2,0.1,0,0,0,0.4,0.7,6.66,12,Fiorentina,14.5,9.5,0.5,4.3,0.3,6.66,12,Fiorentina,2.8,1,0.2,0.8,0,7.4,6.66,Serie A,12,Fiorentina,11.8,15.7,9.3,14.6,1.4,6.66,12,Fiorentina,32,14.5,664,47.6,80.5,13.7,6.66,12,Fiorentina,4.5,15.8,2,3.9,11.7,2.5,6.66
13,Cagliari,14.8,10.4,25.2,6.66,13,Cagliari,8.5,6.66,13,Cagliari,11.5,14.6,6.66,13,Cagliari,2.9,0.1,6.66,13,Cagliari,1.5,6.66,13,Cagliari,21.4,6.66,13,Cagliari,4.4,2.6,7.2,6.66,13,Cagliari,3.4,0.2,2.2,1,6.66,13,Cagliari,12,5.5,0.7,5.8,6.66,13,Cagliari,1.6,0.2,1,0.4,6.66,13,Cagliari,5.6,8.7,14.4,6.66,13,Cagliari,14.8,9.2,6.66,13,Cagliari,33.9,15,18.8,6.66,13,Cagliari,414.3,30.1,28.7,304.4,51.1,6.66,13,Cagliari,9.4,1.2,8.2,6.66,13,Cagliari,0.4,0,0.1,0,0,0.5,1,6.66,13,Cagliari,12,9.2,0.5,2.2,0.2,6.66,13,Cagliari,2.4,0.7,0.2,0.3,0.2,6.5,6.66,Serie A,13,Cagliari,15.7,14.8,8.5,14.6,1.5,6.66,13,Cagliari,41,12,733,48.2,80.7,15,6.66,13,Cagliari,4.5,16.3,1.6,2.5,10,3.4,6.66
14,Bologna,15.6,10.5,26.1,6.64,14,Bologna,10.7,6.64,14,Bologna,15,15.5,6.64,14,Bologna,3.2,0.2,6.64,14,Bologna,2.1,6.64,14,Bologna,16.8,6.64,14,Bologna,3.5,1.7,6.7,6.64,14,Bologna,2.8,0.2,1.7,1,6.64,14,Bologna,14.6,5.7,1.4,7.5,6.64,14,Bologna,1.5,0.4,0.8,0.1,6.64,14,Bologna,7.5,8.6,16.1,6.64,14,Bologna,16.2,8.9,6.64,14,Bologna,38.7,19.3,19.3,6.64,14,Bologna,439.6,24.8,26.3,332.2,56.2,6.64,14,Bologna,11,1.6,9.4,6.64,14,Bologna,0.2,0,0,0,0,0.6,0.9,6.64,14,Bologna,14.6,10.8,0.5,3.1,0.2,6.64,14,Bologna,2.4,0.8,0.3,0.4,0,8,6.64,Serie A,14,Bologna,13.3,15.6,10.7,15.5,2.1,6.64,14,Bologna,38,14.6,826,52.4,81.2,19.3,6.64,14,Bologna,4.5,15.9,2.7,3.3,13.3,2,6.64
15,Udinese,16.2,8.9,25,6.63,15,Udinese,10,6.63,15,Udinese,11.5,13.6,6.63,15,Udinese,2.1,0.1,6.63,15,Udinese,1.8,6.63,15,Udinese,20.4,6.63,15,Udinese,4,1.7,7.6,6.63,15,Udinese,3.3,0.1,2,1.2,6.63,15,Udinese,13.1,5.5,0.7,7,6.63,15,Udinese,0.8,0.1,0.6,0.1,6.63,15,Udinese,5.3,10.2,15.5,6.63,15,Udinese,14.3,9.3,6.63,15,Udinese,29.7,14,15.8,6.63,15,Udinese,396.6,25,29.1,292.7,49.8,6.63,15,Udinese,10,1.4,8.6,6.63,15,Udinese,0.2,0,0,0,0,0.3,0.5,6.63,15,Udinese,13.1,9.5,0.7,2.9,0,6.63,15,Udinese,2.4,0.5,0.3,0.3,0,7.1,6.63,Serie A,15,Udinese,15.4,16.2,10,13.6,1.8,6.63,15,Udinese,21,13.1,543,46.3,80.1,14,6.63,15,Udinese,4.7,14.8,3,2.2,9.6,2.5,6.63
16,Sampdoria,17,10.6,27.6,6.58,16,Sampdoria,10.2,6.58,16,Sampdoria,12.2,15,6.58,16,Sampdoria,2.8,0.2,6.58,16,Sampdoria,1.9,6.58,16,Sampdoria,17.3,6.58,16,Sampdoria,2.7,1.8,7.4,6.58,16,Sampdoria,2.8,0.1,1.8,0.9,6.58,16,Sampdoria,14.8,6.8,0.5,7.5,6.58,16,Sampdoria,1.1,0,0.9,0.2,6.58,16,Sampdoria,5.1,8.4,13.6,6.58,16,Sampdoria,14.4,8.4,6.58,16,Sampdoria,34,15.9,18.1,6.58,16,Sampdoria,367.8,23.3,30.4,258.8,55.3,6.58,16,Sampdoria,10.4,1.3,9.1,6.58,16,Sampdoria,0.2,0,0,0,0,0.4,0.6,6.58,16,Sampdoria,14.8,10.5,0.3,3.7,0.3,6.58,16,Sampdoria,2.6,0.8,0.2,0.3,0.2,7.2,6.58,Serie A,16,Sampdoria,12.3,17,10.2,15,1.9,6.58,16,Sampdoria,28,14.8,715,44.3,76.7,15.9,6.58,16,Sampdoria,4.8,16.7,1.9,2.9,10.7,2.9,6.58
17,Genoa,15.1,10.5,25.6,6.58,17,Genoa,10.1,6.58,17,Genoa,13.9,15.7,6.58,17,Genoa,2.8,0.3,6.58,17,Genoa,1.4,6.58,17,Genoa,20.5,6.58,17,Genoa,4,1.7,6.9,6.58,17,Genoa,3.8,0.3,1.8,1.8,6.58,17,Genoa,12,5.1,0.9,6,6.58,17,Genoa,1.2,0.2,0.8,0.2,6.58,17,Genoa,6,9.2,15.2,6.58,17,Genoa,14.6,9.5,6.58,17,Genoa,31.6,16.3,15.3,6.58,17,Genoa,433.2,25.3,27.7,327.1,53.2,6.58,17,Genoa,8.2,1.3,6.9,6.58,17,Genoa,0.2,0,0,0,0,0.5,0.8,6.58,17,Genoa,12,7.9,0.3,3.4,0.3,6.58,17,Genoa,2.3,0.5,0.1,0.2,0,5.7,6.58,Serie A,17,Genoa,16.3,15.1,10.1,15.7,1.4,6.58,17,Genoa,31,12,748,50.2,81.3,16.3,6.58,17,Genoa,4.2,15.7,2.1,2.5,11.5,2.4,6.58
18,Lecce,14.2,11.6,25.8,6.56,18,Lecce,10.2,6.56,18,Lecce,13.8,13.4,6.56,18,Lecce,2.7,0.2,6.56,18,Lecce,1.6,6.56,18,Lecce,21.3,6.56,18,Lecce,4,2,6.6,6.56,18,Lecce,4.5,0.3,2.8,1.3,6.56,18,Lecce,13.4,6,0.8,6.6,6.56,18,Lecce,1.3,0.3,0.7,0.3,6.56,18,Lecce,4.3,8,12.3,6.56,18,Lecce,13,9.1,6.56,18,Lecce,28.2,13.2,15,6.56,18,Lecce,391.5,31.2,27,282.5,50.9,6.56,18,Lecce,10,1.3,8.7,6.56,18,Lecce,0.2,0,0,0,0,0.5,0.7,6.56,18,Lecce,13.4,10,0.5,2.6,0.3,6.56,18,Lecce,2.3,0.2,0.2,0.5,0.2,7.1,6.56,Serie A,18,Lecce,19.1,14.2,10.2,13.4,1.6,6.56,18,Lecce,34,13.4,694,45.3,80.1,13.2,6.56,18,Lecce,4.6,13.3,3.6,0.8,12.5,2.2,6.56
19,SPAL 2013,15,9.3,24.3,6.54,19,SPAL 2013,9.8,6.54,19,SPAL 2013,14.3,15,6.54,19,SPAL 2013,2.8,0.1,6.54,19,SPAL 2013,1.6,6.54,19,SPAL 2013,19,6.54,19,SPAL 2013,4.3,1.2,5.7,6.54,19,SPAL 2013,4,0.1,2.5,1.5,6.54,19,SPAL 2013,13.3,5.7,0.6,7.1,6.54,19,SPAL 2013,0.8,0.1,0.6,0.1,6.54,19,SPAL 2013,4,9.5,13.6,6.54,19,SPAL 2013,13.4,10.7,6.54,19,SPAL 2013,30.5,15.3,15.2,6.54,19,SPAL 2013,392,26,28.8,288.8,48.5,6.54,19,SPAL 2013,9.5,1.4,8,6.54,19,SPAL 2013,0.1,0,0,0,0,0.3,0.4,6.54,19,SPAL 2013,13.3,9.2,0.1,3.8,0.3,6.54,19,SPAL 2013,3,1.1,0.2,0.7,0.2,5.9,6.54,Serie A,19,SPAL 2013,16.7,15,9.8,15,1.6,6.54,19,SPAL 2013,20,13.3,742,47.7,80.3,15.3,6.54,19,SPAL 2013,4.5,15.1,2.2,2.4,11.8,2.7,6.54
20,Brescia,14.2,8.5,22.7,6.5,20,Brescia,9.3,6.5,20,Brescia,15.8,13.2,6.5,20,Brescia,2.4,0.2,6.5,20,Brescia,2.3,6.5,20,Brescia,23.5,6.5,20,Brescia,5,2.3,6,6.5,20,Brescia,3.9,0.2,2.3,1.3,6.5,20,Brescia,10.7,4.3,0.9,5.4,6.5,20,Brescia,0.8,0.3,0.4,0.2,6.5,20,Brescia,4.3,7.6,12,6.5,20,Brescia,15,8.9,6.5,20,Brescia,31,15.3,15.7,6.5,20,Brescia,334.5,21,28.3,227.5,57.7,6.5,20,Brescia,7,1.5,5.5,6.5,20,Brescia,0.2,0.1,0,0,0,0.3,0.5,6.5,20,Brescia,10.7,6.6,0.4,3.5,0.1,6.5,20,Brescia,2.2,0.9,0.2,0.6,0.1,4.2,6.5,Serie A,20,Brescia,18.3,14.2,9.3,13.2,2.3,6.5,20,Brescia,22,10.7,626,42.3,74.3,15.3,6.5,20,Brescia,4.1,11.9,2.4,1.7,11.7,4.2,6.5
1,Bayern Munich,14.8,8.5,23.3,7.17,1,Bayern Munich,9.5,7.17,1,Bayern Munich,10.8,9,7.17,1,Bayern Munich,1.7,0.1,7.17,1,Bayern Munich,2.2,7.17,1,Bayern Munich,9.9,7.17,1,Bayern Munich,2.3,1.4,5.8,7.17,1,Bayern Munich,2.4,0.2,1.3,0.9,7.17,1,Bayern Munich,18.8,5.8,1.8,11.2,7.17,1,Bayern Munich,2.9,0.4,2.1,0.4,7.17,1,Bayern Munich,8.3,15.4,23.7,7.17,1,Bayern Munich,15.2,9.2,7.17,1,Bayern Munich,26.1,14,12.2,7.17,1,Bayern Munich,673.4,39.6,20.4,549.4,64,7.17,1,Bayern Munich,14.7,2.1,12.6,7.17,1,Bayern Munich,0.6,0.2,0.4,0,0,1.3,2.3,7.17,1,Bayern Munich,18.8,14.3,0.4,3.9,0.2,7.17,1,Bayern Munich,4.3,1.3,0.8,0.4,0,9.2,7.17,Bundesliga,1,Bayern Munich,9.1,14.8,9.5,9,2.2,7.17,1,Bayern Munich,73,18.8,432,63.2,87.5,14,7.17,1,Bayern Munich,7,19.2,3.2,4.2,11.8,0.6,7.17
2,Borussia Dortmund,15.3,8.2,23.5,7,2,Borussia Dortmund,10.7,7,2,Borussia Dortmund,9.8,8.8,7,2,Borussia Dortmund,1,0,7,2,Borussia Dortmund,1.7,7,2,Borussia Dortmund,12.8,7,2,Borussia Dortmund,2.4,1.1,7.8,7,2,Borussia Dortmund,1.7,0.2,0.9,0.6,7,2,Borussia Dortmund,13.8,4.4,0.9,8.5,7,2,Borussia Dortmund,2.7,0.6,2,0.2,7,2,Borussia Dortmund,9.4,13.8,23.2,7,2,Borussia Dortmund,14.4,10.1,7,2,Borussia Dortmund,22.5,11.6,11,7,2,Borussia Dortmund,659.3,30.9,24.1,540,64.3,7,2,Borussia Dortmund,11.2,1.4,9.8,7,2,Borussia Dortmund,0.4,0.1,0.3,0,0,1.6,2.4,7,2,Borussia Dortmund,13.8,9.8,0.8,3.1,0.1,7,2,Borussia Dortmund,2.3,1.2,0.6,0.3,0,8.1,7,Bundesliga,2,Borussia Dortmund,10.5,15.3,10.7,8.8,1.7,7,2,Borussia Dortmund,68,13.8,251,58.5,86.6,11.6,7,2,Borussia Dortmund,3.6,12.3,3.2,3,10.3,1.4,7
3,RasenBallsport Leipzig,18.8,11.5,30.3,7,3,RasenBallsport Leipzig,11.1,7,3,RasenBallsport Leipzig,10.6,10.9,7,3,RasenBallsport Leipzig,1.4,0,7,3,RasenBallsport Leipzig,2.6,7,3,RasenBallsport Leipzig,16.4,7,3,RasenBallsport Leipzig,2.7,1.6,9.6,7,3,RasenBallsport Leipzig,2.6,0.2,1.7,0.7,7,3,RasenBallsport Leipzig,16.3,5.4,1.3,9.6,7,3,RasenBallsport Leipzig,2.5,0.6,1.4,0.5,7,3,RasenBallsport Leipzig,7.1,12.1,19.2,7,3,RasenBallsport Leipzig,17,8.8,7,3,RasenBallsport Leipzig,29.6,15.4,14.2,7,3,RasenBallsport Leipzig,534.4,25.6,25.6,412.6,70.5,7,3,RasenBallsport Leipzig,12.6,2.1,10.5,7,3,RasenBallsport Leipzig,0.4,0.2,0.1,0,0,1.1,1.6,7,3,RasenBallsport Leipzig,16.3,11.1,0.8,4.2,0.2,7,3,RasenBallsport Leipzig,3.4,1.5,0.4,0.4,0,8.7,7,Bundesliga,3,RasenBallsport Leipzig,10.2,18.8,11.1,10.9,2.6,7,3,RasenBallsport Leipzig,62,16.3,361,53.2,82,15.4,7,3,RasenBallsport Leipzig,5.3,13.7,2.7,2.9,11.2,1.3,7
4,Borussia M.Gladbach,16.7,10.9,27.6,6.9,4,Borussia M.Gladbach,12.4,6.9,4,Borussia M.Gladbach,12.8,12.6,6.9,4,Borussia M.Gladbach,2.3,0.1,6.9,4,Borussia M.Gladbach,2.7,6.9,4,Borussia M.Gladbach,16.8,6.9,4,Borussia M.Gladbach,3.5,1.5,8.6,6.9,4,Borussia M.Gladbach,3.6,0,2.5,1,6.9,4,Borussia M.Gladbach,13.7,4,1.2,8.5,6.9,4,Borussia M.Gladbach,2,0.4,1.4,0.1,6.9,4,Borussia M.Gladbach,8,12.6,20.5,6.9,4,Borussia M.Gladbach,14.4,9.5,6.9,4,Borussia M.Gladbach,35.2,17.4,17.7,6.9,4,Borussia M.Gladbach,465.6,26.5,26,350,63.1,6.9,4,Borussia M.Gladbach,10.2,1.8,8.4,6.9,4,Borussia M.Gladbach,0.4,0,0.1,0.2,0,1,1.6,6.9,4,Borussia M.Gladbach,13.7,9.2,0.6,3.7,0.2,6.9,4,Borussia M.Gladbach,2.5,0.7,0.6,0.9,0,6.6,6.9,Bundesliga,4,Borussia M.Gladbach,14.5,16.7,12.4,12.6,2.7,6.9,4,Borussia M.Gladbach,49,13.7,582,51.5,80.9,17.4,6.9,4,Borussia M.Gladbach,4,13.4,1.9,3.4,10.9,1.5,6.9
5,Bayer Leverkusen,17.2,9.4,26.6,6.89,5,Bayer Leverkusen,10.4,6.89,5,Bayer Leverkusen,10.4,11.3,6.89,5,Bayer Leverkusen,1.5,0.2,6.89,5,Bayer Leverkusen,2.8,6.89,5,Bayer Leverkusen,13.8,6.89,5,Bayer Leverkusen,1.9,0.9,9,6.89,5,Bayer Leverkusen,3,0.2,1.8,1,6.89,5,Bayer Leverkusen,15.5,5.2,1.3,9,6.89,5,Bayer Leverkusen,1.8,0.5,1,0.2,6.89,5,Bayer Leverkusen,7.5,13.4,20.9,6.89,5,Bayer Leverkusen,17.4,11.3,6.89,5,Bayer Leverkusen,31,16.2,14.8,6.89,5,Bayer Leverkusen,617.8,32.7,29.6,491,64.5,6.89,5,Bayer Leverkusen,12.4,2.2,10.2,6.89,5,Bayer Leverkusen,0.4,0.1,0.2,0,0,0.8,1.5,6.89,5,Bayer Leverkusen,15.5,10.4,1.1,4,0,6.89,5,Bayer Leverkusen,3.2,1.4,0.5,0.3,0.2,8.2,6.89,Bundesliga,5,Bayer Leverkusen,11,17.2,10.4,11.3,2.8,6.89,5,Bayer Leverkusen,45,15.5,386,59.9,84.8,16.2,6.89,5,Bayer Leverkusen,4.8,16.1,2.4,3.5,11,1.8,6.89
6,Wolfsburg,17.6,10.8,28.4,6.76,6,Wolfsburg,11.2,6.76,6,Wolfsburg,12,14.3,6.76,6,Wolfsburg,1.7,0.1,6.76,6,Wolfsburg,2.4,6.76,6,Wolfsburg,18.8,6.76,6,Wolfsburg,2.6,1.9,8.4,6.76,6,Wolfsburg,3.3,0.2,2.2,0.9,6.76,6,Wolfsburg,13.9,5.5,0.6,7.8,6.76,6,Wolfsburg,1.4,0.3,0.8,0.3,6.76,6,Wolfsburg,7.8,10.5,18.3,6.76,6,Wolfsburg,16,11.1,6.76,6,Wolfsburg,39.1,19.6,19.4,6.76,6,Wolfsburg,417.2,30.9,35.4,284.1,66.8,6.76,6,Wolfsburg,10.7,2.3,8.4,6.76,6,Wolfsburg,0.2,0,0.1,0,0,0.7,1,6.76,6,Wolfsburg,13.9,8.6,0.6,4.5,0.1,6.76,6,Wolfsburg,3,1.2,0.4,0.7,0.1,6.8,6.76,Bundesliga,6,Wolfsburg,11.6,17.6,11.2,14.3,2.4,6.76,6,Wolfsburg,34,13.9,422,49.1,75.5,19.6,6.76,6,Wolfsburg,4.7,15.4,2.4,3,8.6,2.9,6.76
